date,ticker,price,sma_50,sma_200
2011-01-28,SPY,97.71,95.37,87.85
2011-01-31,SPY,98.44,95.54,87.9
2011-02-01,SPY,100.02,95.71,87.95
2011-02-02,SPY,99.82,95.88,87.99
2011-02-03,SPY,100.05,96.05,88.04
2011-02-04,SPY,100.33,96.26,88.08
2011-02-07,SPY,100.96,96.44,88.13
2011-02-08,SPY,101.42,96.67,88.18
2011-02-09,SPY,101.19,96.88,88.24
2011-02-10,SPY,101.22,97.1,88.29
2011-02-11,SPY,101.83,97.29,88.35
2011-02-14,SPY,102.07,97.47,88.41
2011-02-15,SPY,101.75,97.63,88.47
2011-02-16,SPY,102.39,97.81,88.53
2011-02-17,SPY,102.7,98.0,88.61
2011-02-18,SPY,102.92,98.18,88.7
2011-02-22,SPY,100.85,98.31,88.78
2011-02-23,SPY,100.23,98.42,88.85
2011-02-24,SPY,100.16,98.53,88.91
2011-02-25,SPY,101.23,98.66,88.97
2011-02-28,SPY,101.86,98.8,89.05
2011-03-01,SPY,100.16,98.91,89.12
2011-03-02,SPY,100.38,99.01,89.19
2011-03-03,SPY,102.1,99.15,89.28
2011-03-04,SPY,101.34,99.26,89.36
2011-03-07,SPY,100.54,99.34,89.46
2011-03-08,SPY,101.42,99.45,89.56
2011-03-09,SPY,101.28,99.55,89.66
2011-03-10,SPY,99.4,99.62,89.75
2011-03-11,SPY,100.09,99.69,89.85
2011-03-14,SPY,99.49,99.76,89.93
2011-03-15,SPY,98.35,99.8,90.01
2011-03-16,SPY,96.53,99.79,90.08
2011-03-17,SPY,97.8,99.8,90.16
2011-03-18,SPY,98.16,99.81,90.23
2011-03-21,SPY,99.68,99.86,90.33
2011-03-22,SPY,99.34,99.9,90.43
2011-03-23,SPY,99.62,99.95,90.52
2011-03-24,SPY,100.57,100.01,90.63
2011-03-25,SPY,100.88,100.06,90.72
2011-03-28,SPY,100.63,100.11,90.81
2011-03-29,SPY,101.31,100.16,90.9
2011-03-30,SPY,102.01,100.21,90.99
2011-03-31,SPY,101.87,100.29,91.08
2011-04-01,SPY,102.3,100.38,91.17
2011-04-04,SPY,102.39,100.46,91.26
2011-04-05,SPY,102.37,100.53,91.35
2011-04-06,SPY,102.69,100.61,91.45
2011-04-07,SPY,102.43,100.67,91.55
2011-04-08,SPY,102.08,100.73,91.65
2011-04-11,SPY,101.77,100.81,91.75
2011-04-12,SPY,101.01,100.86,91.85
2011-04-13,SPY,101.0,100.88,91.96
2011-04-14,SPY,101.08,100.9,92.07
2011-04-15,SPY,101.45,100.93,92.19
2011-04-18,SPY,100.31,100.93,92.31
2011-04-19,SPY,100.89,100.93,92.42
2011-04-20,SPY,102.26,100.95,92.53
2011-04-21,SPY,102.79,100.98,92.64
2011-04-25,SPY,102.68,101.01,92.74
2011-04-26,SPY,103.56,101.04,92.85
2011-04-27,SPY,104.24,101.09,92.96
2011-04-28,SPY,104.58,101.14,93.07
2011-04-29,SPY,104.82,101.19,93.18
2011-05-02,SPY,104.66,101.23,93.3
2011-05-03,SPY,104.28,101.26,93.41
2011-05-04,SPY,103.59,101.31,93.52
2011-05-05,SPY,102.66,101.36,93.63
2011-05-06,SPY,103.11,101.42,93.73
2011-05-09,SPY,103.51,101.47,93.83
2011-05-10,SPY,104.39,101.52,93.93
2011-05-11,SPY,103.29,101.58,94.02
2011-05-12,SPY,103.78,101.65,94.12
2011-05-13,SPY,102.99,101.67,94.22
2011-05-16,SPY,102.33,101.69,94.31
2011-05-17,SPY,102.32,101.72,94.4
2011-05-18,SPY,103.23,101.76,94.49
2011-05-19,SPY,103.48,101.8,94.58
2011-05-20,SPY,102.66,101.87,94.67
2011-05-23,SPY,101.46,101.89,94.75
2011-05-24,SPY,101.38,101.93,94.83
2011-05-25,SPY,101.72,102.0,94.91
2011-05-26,SPY,102.19,102.11,95.01
2011-05-27,SPY,102.58,102.21,95.11
2011-05-31,SPY,103.65,102.32,95.22
2011-06-01,SPY,101.32,102.35,95.31
2011-06-02,SPY,101.21,102.39,95.41
2011-06-03,SPY,100.2,102.4,95.49
2011-06-06,SPY,99.14,102.37,95.58
2011-06-07,SPY,99.08,102.33,95.67
2011-06-08,SPY,98.67,102.3,95.75
2011-06-09,SPY,99.42,102.26,95.85
2011-06-10,SPY,98.04,102.18,95.94
2011-06-13,SPY,98.11,102.1,96.03
2011-06-14,SPY,99.36,102.04,96.13
2011-06-15,SPY,97.59,101.95,96.22
2011-06-16,SPY,97.81,101.86,96.31
2011-06-17,SPY,98.1,101.77,96.39
2011-06-20,SPY,98.6,101.69,96.46
2011-06-21,SPY,99.95,101.65,96.54
2011-06-22,SPY,99.35,101.6,96.63
2011-06-23,SPY,99.06,101.56,96.7
2011-06-24,SPY,97.91,101.5,96.77
2011-06-27,SPY,98.79,101.45,96.85
2011-06-28,SPY,100.08,101.42,96.92
2011-06-29,SPY,100.93,101.44,97.0
2011-06-30,SPY,101.9,101.46,97.08
2011-07-01,SPY,103.4,101.48,97.17
2011-07-05,SPY,103.32,101.49,97.26
2011-07-06,SPY,103.44,101.5,97.34
2011-07-07,SPY,104.52,101.52,97.43
2011-07-08,SPY,103.77,101.51,97.52
2011-07-11,SPY,101.9,101.46,97.6
2011-07-12,SPY,101.46,101.39,97.67
2011-07-13,SPY,101.8,101.34,97.74
2011-07-14,SPY,101.09,101.27,97.81
2011-07-15,SPY,101.68,101.23,97.88
2011-07-18,SPY,100.85,101.2,97.95
2011-07-19,SPY,102.48,101.19,98.03
2011-07-20,SPY,102.42,101.16,98.11
2011-07-21,SPY,103.84,101.15,98.19
2011-07-22,SPY,103.91,101.17,98.27
2011-07-25,SPY,103.33,101.16,98.34
2011-07-26,SPY,102.95,101.16,98.41
2011-07-27,SPY,100.84,101.13,98.47
2011-07-28,SPY,100.55,101.09,98.53
2011-07-29,SPY,99.86,101.02,98.58
2011-08-01,SPY,99.43,100.94,98.63
2011-08-02,SPY,96.89,100.83,98.67
2011-08-03,SPY,97.42,100.75,98.7
2011-08-04,SPY,92.86,100.58,98.72
2011-08-05,SPY,92.72,100.4,98.74
2011-08-08,SPY,86.68,100.09,98.72
2011-08-09,SPY,90.71,99.85,98.73
2011-08-10,SPY,86.7,99.51,98.71
2011-08-11,SPY,90.59,99.29,98.71
2011-08-12,SPY,91.2,99.09,98.72
2011-08-15,SPY,93.13,98.95,98.73
2011-08-16,SPY,92.34,98.82,98.74
2011-08-17,SPY,92.4,98.68,98.75
2011-08-18,SPY,88.42,98.48,98.74
2011-08-19,SPY,86.97,98.23,98.72
2011-08-22,SPY,87.04,98.01,98.69
2011-08-23,SPY,89.91,97.84,98.67
2011-08-24,SPY,91.17,97.68,98.66
2011-08-25,SPY,89.78,97.52,98.65
2011-08-26,SPY,91.09,97.39,98.64
2011-08-29,SPY,93.71,97.3,98.64
2011-08-30,SPY,93.95,97.21,98.66
2011-08-31,SPY,94.37,97.1,98.67
2011-09-01,SPY,93.38,96.98,98.69
2011-09-02,SPY,91.0,96.82,98.69
2011-09-06,SPY,90.33,96.67,98.69
2011-09-07,SPY,92.88,96.55,98.7
2011-09-08,SPY,91.91,96.38,98.7
2011-09-09,SPY,89.51,96.16,98.69
2011-09-12,SPY,90.08,95.92,98.69
2011-09-13,SPY,90.91,95.67,98.69
2011-09-14,SPY,92.17,95.45,98.7
2011-09-15,SPY,93.76,95.25,98.72
2011-09-16,SPY,94.31,95.05,98.73
2011-09-19,SPY,93.38,94.84,98.73
2011-09-20,SPY,93.27,94.67,98.73
2011-09-21,SPY,90.52,94.45,98.71
2011-09-22,SPY,87.59,94.17,98.68
2011-09-23,SPY,88.12,93.91,98.65
2011-09-26,SPY,90.22,93.68,98.63
2011-09-27,SPY,91.23,93.48,98.62
2011-09-28,SPY,89.36,93.22,98.59
2011-09-29,SPY,90.07,92.98,98.57
2011-09-30,SPY,87.82,92.65,98.53
2011-10-03,SPY,85.32,92.28,98.48
2011-10-04,SPY,87.19,91.96,98.44
2011-10-05,SPY,88.8,91.68,98.41
2011-10-06,SPY,90.41,91.47,98.38
2011-10-07,SPY,89.81,91.25,98.35
2011-10-10,SPY,92.81,91.11,98.34
2011-10-11,SPY,92.9,90.98,98.32
2011-10-12,SPY,93.72,90.92,98.31
2011-10-13,SPY,93.53,90.84,98.29
2011-10-14,SPY,95.13,90.89,98.29
2011-10-17,SPY,93.31,90.9,98.27
2011-10-18,SPY,95.14,91.07,98.26
2011-10-19,SPY,94.01,91.13,98.25
2011-10-20,SPY,94.42,91.29,98.23
2011-10-21,SPY,96.22,91.4,98.23
2011-10-24,SPY,97.4,91.52,98.23
2011-10-25,SPY,95.5,91.57,98.22
2011-10-26,SPY,96.47,91.65,98.21
2011-10-27,SPY,99.83,91.8,98.22
2011-10-28,SPY,99.81,92.03,98.23
2011-10-31,SPY,97.4,92.24,98.22
2011-11-01,SPY,94.69,92.39,98.2
2011-11-02,SPY,96.23,92.52,98.19
2011-11-03,SPY,97.99,92.66,98.19
2011-11-04,SPY,97.39,92.81,98.19
2011-11-07,SPY,97.99,92.95,98.18
2011-11-08,SPY,99.25,93.06,98.18
2011-11-09,SPY,95.59,93.09,98.17
2011-11-10,SPY,96.49,93.13,98.15
2011-11-11,SPY,98.3,93.23,98.15
2011-11-14,SPY,97.37,93.36,98.15
2011-11-15,SPY,97.85,93.51,98.14
2011-11-16,SPY,96.3,93.58,98.12
2011-11-17,SPY,94.77,93.63,98.09
2011-11-18,SPY,94.67,93.74,98.07
2011-11-21,SPY,92.87,93.79,98.02
2011-11-22,SPY,92.51,93.82,97.98
2011-11-23,SPY,90.47,93.79,97.93
2011-11-25,SPY,90.29,93.72,97.87
2011-11-28,SPY,92.91,93.69,97.83
2011-11-29,SPY,93.17,93.69,97.78
2011-11-30,SPY,97.01,93.76,97.76
2011-12-01,SPY,96.99,93.89,97.73
2011-12-02,SPY,96.91,94.08,97.7
2011-12-05,SPY,97.96,94.28,97.68
2011-12-06,SPY,97.99,94.43,97.66
2011-12-07,SPY,98.36,94.57,97.65
2011-12-08,SPY,96.2,94.71,97.63
2011-12-09,SPY,97.83,94.87,97.62
2011-12-12,SPY,96.4,95.04,97.59
2011-12-13,SPY,95.5,95.24,97.57
2011-12-14,SPY,94.49,95.39,97.54
2011-12-15,SPY,94.83,95.51,97.5
2011-12-16,SPY,94.97,95.6,97.47
2011-12-19,SPY,93.95,95.68,97.44
2011-12-20,SPY,96.8,95.76,97.41
2011-12-21,SPY,96.98,95.84,97.39
2011-12-22,SPY,97.84,95.93,97.38
2011-12-23,SPY,98.72,96.03,97.38
2011-12-27,SPY,98.79,96.1,97.37
2011-12-28,SPY,97.5,96.19,97.37
2011-12-29,SPY,98.51,96.25,97.38
2011-12-30,SPY,98.02,96.33,97.38
2012-01-03,SPY,99.58,96.44,97.39
2012-01-04,SPY,99.74,96.51,97.39
2012-01-05,SPY,100.01,96.56,97.39
2012-01-06,SPY,99.75,96.64,97.39
2012-01-09,SPY,99.99,96.72,97.39
2012-01-10,SPY,100.86,96.74,97.39
2012-01-11,SPY,100.91,96.76,97.39
2012-01-12,SPY,101.15,96.83,97.39
2012-01-13,SPY,100.63,96.95,97.38
2012-01-17,SPY,101.02,97.05,97.38
2012-01-18,SPY,102.14,97.13,97.38
2012-01-19,SPY,102.68,97.24,97.38
2012-01-20,SPY,103.06,97.34,97.38
2012-01-23,SPY,102.79,97.41,97.38
2012-01-24,SPY,102.68,97.55,97.38
2012-01-25,SPY,103.54,97.69,97.39
2012-01-26,SPY,103.0,97.79,97.4
2012-01-27,SPY,102.96,97.9,97.41
2012-01-30,SPY,102.61,97.99,97.42
2012-01-31,SPY,102.57,98.12,97.42
